Destination Name,Country,Continent,Type,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site
Serene Valley,Germany,Europe,City,48.74,Autumn,4.6,8.05,No
Grand Beach,Thailand,Asia,Adventure,127.78,Spring,4.0,1.25,No
Golden Park,Canada,North America,Adventure,175.25,Autumn,4.8,4.39,No
Crystal Plaza,China,Asia,Adventure,133.29,Summer,4.4,2.88,No
Crystal Plaza,Thailand,Asia,Nature,238.27,Winter,4.6,6.77,No
Grand Ruins,Vietnam,Asia,Beach,168.86,Autumn,5.0,6.31,No
Golden Valley,India,Asia,City,74.03,Summer,4.4,3.88,No
Mystic Beach,Morocco,Africa,Adventure,138.13,Winter,5.0,1.43,No
Hidden Falls,Brazil,South America,Adventure,30.0,Spring,4.2,2.15,Yes
Ancient Pagoda,China,Asia,Historical,50.25,Autumn,4.1,6.35,Yes
Hidden Temple,France,Europe,Religious,128.0,Summer,4.5,4.06,No
Serene Temple,Morocco,Africa,Beach,152.93,Summer,5.0,8.64,No
Lush Valley,France,Europe,Nature,100.92,Winter,4.6,1.17,Yes
Hidden Ruins,South Africa,Africa,City,139.88,Autumn,4.5,6.06,No
Mystic Canyon,Egypt,Africa,Nature,155.68,Summer,4.7,4.19,No
Grand Plaza,Greece,Europe,Nature,119.24,Summer,5.0,5.68,No
Crystal Park,Canada,North America,Beach,142.41,Winter,4.7,9.63,Yes
Grand Falls,Greece,Europe,Nature,125.68,Summer,4.6,3.53,No
Grand Pagoda,Spain,Europe,Nature,120.53,Spring,4.8,1.62,Yes
Lush Ruins,Greece,Europe,Adventure,197.6,Spring,4.9,8.84,No
Sacred Pagoda,Thailand,Asia,City,190.64,Spring,4.7,3.18,No
Serene Valley,India,Asia,Adventure,177.59,Spring,4.3,8.16,No
Grand Falls,Brazil,South America,Adventure,148.95,Winter,4.5,4.03,No
Serene Falls,France,Europe,Adventure,116.54,Spring,4.8,9.34,Yes
Crystal Forest,Brazil,South America,Historical,139.12,Spring,4.8,7.63,No
Grand Pagoda,France,Europe,Nature,129.6,Winter,4.6,9.07,Yes
Lush Pagoda,New Zealand,Oceania,City,215.27,Autumn,4.5,3.54,No
Serene Canyon,France,Europe,Beach,138.04,Spring,4.8,0.6,Yes
Sacred Falls,Kenya,Africa,Nature,166.21,Spring,4.5,9.53,No
Lush Canyon,Thailand,Asia,Religious,245.62,Spring,4.8,4.76,No
Serene Falls,Argentina,South America,Historical,99.7,Winter,4.1,6.89,Yes
Lush Canyon,Greece,Europe,Religious,188.53,Winter,4.7,8.0,Yes
Serene Canyon,South Africa,Africa,Nature,149.39,Spring,4.2,1.05,No
Sacred Ruins,Mexico,North America,Historical,45.5,Winter,5.0,8.93,No
Mystic Pagoda,Brazil,South America,Beach,108.73,Summer,4.4,1.86,No
Lush Falls,Greece,Europe,Beach,180.69,Spring,4.9,1.46,No
Lush Valley,USA,North America,Beach,162.25,Spring,4.3,1.19,No
Golden Ruins,Spain,Europe,Adventure,177.96,Autumn,4.8,1.27,Yes
Serene Valley,Germany,Europe,Nature,77.6,Spring,4.1,8.22,Yes
Grand Pagoda,New Zealand,Oceania,Adventure,116.79,Winter,4.9,1.29,No
Golden Park,India,Asia,Historical,165.55,Autumn,4.9,4.53,No
Ancient Ruins,Greece,Europe,City,134.88,Winter,4.5,4.95,Yes
Grand Pagoda,Mexico,North America,City,166.14,Summer,4.3,7.59,Yes
Crystal Canyon,Egypt,Africa,Adventure,174.63,Spring,4.5,4.06,Yes
Serene Plaza,India,Asia,Beach,184.51,Winter,4.4,2.62,No
Crystal Ruins,Greece,Europe,Nature,153.48,Winter,4.8,9.93,No
Crystal Pagoda,Spain,Europe,Beach,154.88,Winter,4.3,9.71,No
Crystal Forest,Greece,Europe,Adventure,263.79,Spring,4.6,7.11,No
Golden Plaza,New Zealand,Oceania,Adventure,257.66,Autumn,4.3,6.05,Yes
Serene Park,Peru,South America,Nature,144.45,Spring,4.8,6.39,Yes
Mystic Pagoda,South Africa,Africa,Beach,108.01,Spring,4.3,4.91,No
Mystic Park,Australia,Oceania,Religious,201.63,Autumn,4.0,1.24,No
Lush Falls,Thailand,Asia,Religious,167.09,Autumn,5.0,3.44,No
Mystic Falls,Thailand,Asia,Historical,178.57,Spring,4.8,2.04,No
Grand Forest,Thailand,Asia,Religious,83.99,Autumn,5.0,9.36,Yes
Hidden Valley,Italy,Europe,Adventure,146.32,Summer,4.4,8.2,No
Sacred Pagoda,China,Asia,Nature,64.34,Summer,4.9,9.71,No
Lush Pagoda,Thailand,Asia,Beach,163.78,Winter,4.6,4.95,No
Crystal Pagoda,Italy,Europe,City,70.28,Spring,4.3,1.04,No
Serene Ruins,Vietnam,Asia,Beach,162.97,Summer,4.6,10.0,No
Ancient Temple,Argentina,South America,Nature,150.26,Summer,4.5,7.81,No
Mystic Pagoda,Greece,Europe,Adventure,134.35,Summer,4.0,1.73,No
Lush Pagoda,Argentina,South America,Nature,156.01,Spring,4.7,2.67,No
Sacred Ruins,Mexico,North America,Adventure,203.02,Winter,5.0,3.9,No
Sacred Canyon,Spain,Europe,Historical,166.62,Autumn,4.3,5.44,No
Lush Ruins,France,Europe,Historical,155.74,Spring,5.0,8.6,No
Sacred Forest,India,Asia,Nature,253.04,Autumn,5.0,8.83,No
Serene Park,China,Asia,Adventure,98.98,Spring,4.4,0.77,No
Lush Plaza,China,Asia,City,182.27,Autumn,4.9,7.19,Yes
Golden Ruins,China,Asia,Religious,128.32,Winter,4.4,0.64,No
Lush Valley,Australia,Oceania,Nature,202.92,Spring,4.0,4.23,No
Grand Ruins,Australia,Oceania,Adventure,194.3,Summer,4.5,3.81,No
Grand Valley,Spain,Europe,Adventure,225.12,Spring,4.5,4.27,No
Lush Forest,Peru,South America,Religious,199.08,Autumn,4.6,9.52,No
Crystal Temple,Italy,Europe,Nature,64.83,Summer,4.5,4.86,Yes
Ancient Pagoda,Spain,Europe,Adventure,149.69,Summer,4.6,3.62,No
Golden Falls,USA,North America,Religious,84.78,Spring,4.7,1.22,No
Mystic Temple,Italy,Europe,Historical,94.94,Spring,4.6,3.78,No
Ancient Park,Australia,Oceania,Adventure,146.87,Winter,4.8,6.84,Yes
Mystic Temple,China,Asia,Nature,127.67,Winter,4.4,0.89,No
Golden Pagoda,India,Asia,Religious,123.49,Spring,4.3,2.18,No
Hidden Park,Argentina,South America,Religious,78.3,Winter,4.4,3.96,Yes
Lush Canyon,Argentina,South America,Religious,248.24,Autumn,4.5,0.87,No
Grand Park,Canada,North America,Adventure,175.73,Autumn,4.9,1.28,Yes
Crystal Beach,Japan,Asia,Nature,144.38,Spring,4.4,8.16,No
Golden Park,Kenya,Africa,Adventure,113.18,Spring,4.7,2.49,Yes
Hidden Temple,Vietnam,Asia,Historical,136.25,Winter,3.8,6.37,No
Mystic Valley,Morocco,Africa,City,118.67,Spring,3.8,7.6,No
Lush Beach,Morocco,Africa,Religious,178.83,Summer,4.6,5.36,No
Crystal Falls,South Africa,Africa,Historical,101.39,Winter,4.5,4.75,Yes
Sacred Falls,Thailand,Asia,City,69.68,Winter,4.6,3.06,Yes
Crystal Pagoda,Australia,Oceania,Nature,140.65,Spring,4.5,3.56,No
Lush Valley,Argentina,South America,Religious,117.67,Spring,4.2,1.64,No
Sacred Falls,Germany,Europe,City,160.91,Autumn,4.8,6.95,No
Ancient Pagoda,Spain,Europe,Adventure,149.6,Summer,4.9,1.33,Yes
Hidden Valley,Japan,Asia,Religious,268.72,Spring,4.8,7.58,No
Sacred Falls,Kenya,Africa,City,98.14,Autumn,4.4,3.2,Yes
Lush Canyon,Egypt,Africa,City,219.79,Summer,4.1,5.92,No
Golden Canyon,Morocco,Africa,Adventure,80.07,Summer,4.7,1.47,Yes
Sacred Ruins,Vietnam,Asia,Beach,127.09,Summer,4.3,2.03,Yes
Sacred Plaza,China,Asia,Adventure,120.38,Spring,4.2,2.15,No
Ancient Pagoda,South Africa,Africa,Religious,30.0,Winter,4.7,9.83,No
Hidden Temple,Egypt,Africa,Adventure,138.05,Spring,4.2,9.71,Yes
Ancient Falls,India,Asia,Adventure,161.87,Winter,4.6,2.95,No
Crystal Temple,New Zealand,Oceania,Religious,175.05,Spring,4.2,9.33,Yes
Golden Beach,Greece,Europe,Adventure,252.17,Summer,5.0,3.16,No
Serene Valley,Peru,South America,City,116.87,Winter,4.7,3.57,No
Serene Falls,New Zealand,Oceania,City,163.99,Winter,3.7,2.8,No
Mystic Ruins,Germany,Europe,Nature,162.99,Summer,4.2,3.24,Yes
Golden Ruins,New Zealand,Oceania,Historical,93.04,Winter,4.6,5.07,Yes
Golden Ruins,France,Europe,Historical,117.41,Winter,4.5,3.7,No
Sacred Valley,Brazil,South America,Beach,119.9,Winter,4.7,6.97,No
Sacred Park,Spain,Europe,Adventure,176.49,Autumn,4.9,4.98,No
Golden Forest,Greece,Europe,Adventure,61.49,Winter,4.2,9.33,No
Lush Plaza,Argentina,South America,Adventure,168.56,Summer,4.3,9.41,Yes
Lush Valley,Thailand,Asia,Religious,174.4,Summer,5.0,8.5,No
Crystal Park,Spain,Europe,Historical,166.88,Winter,4.4,2.42,Yes
Sacred Canyon,Morocco,Africa,Nature,134.08,Spring,4.4,8.24,No
Ancient Forest,India,Asia,Nature,164.49,Autumn,5.0,3.91,Yes
Grand Falls,Canada,North America,Adventure,136.49,Autumn,4.8,8.26,No
Hidden Plaza,India,Asia,Adventure,48.09,Autumn,4.2,4.9,No
Mystic Pagoda,Peru,South America,Religious,202.58,Spring,4.2,5.28,No
Ancient Falls,Spain,Europe,Beach,166.35,Summer,4.4,4.15,Yes
Sacred Forest,Germany,Europe,Nature,194.62,Summer,4.5,6.43,No
Grand Beach,Peru,South America,Religious,76.07,Summer,4.8,1.82,No
Sacred Temple,Argentina,South America,Nature,175.47,Spring,4.9,5.57,No
Ancient Falls,Germany,Europe,Religious,159.09,Autumn,4.6,1.94,Yes
Serene Plaza,New Zealand,Oceania,Historical,95.43,Summer,4.3,7.57,No
Crystal Beach,New Zealand,Oceania,Nature,153.58,Summer,4.4,7.74,No
Hidden Beach,USA,North America,Historical,132.62,Spring,4.7,8.3,No
Golden Valley,USA,North America,City,136.51,Autumn,4.2,8.07,Yes
Hidden Ruins,Australia,Oceania,City,128.63,Autumn,4.3,7.36,No
Ancient Beach,Japan,Asia,Historical,193.48,Spring,4.9,7.09,No
Crystal Pagoda,Germany,Europe,City,68.39,Summer,4.6,3.78,No
Grand Canyon,Kenya,Africa,Adventure,61.06,Autumn,4.9,4.89,No
Ancient Canyon,Canada,North America,Nature,159.03,Summer,5.0,6.31,No
Crystal Beach,Kenya,Africa,Religious,155.47,Autumn,4.7,7.12,No
Crystal Temple,Mexico,North America,Adventure,160.84,Summer,4.6,1.95,Yes
Golden Pagoda,Germany,Europe,Historical,244.1,Spring,4.9,4.53,No
Serene Forest,Thailand,Asia,City,159.19,Winter,4.5,9.29,No
Golden Plaza,New Zealand,Oceania,Religious,100.52,Spring,4.5,9.86,Yes
Grand Park,France,Europe,Adventure,276.93,Summer,4.7,4.29,No
Grand Beach,China,Asia,Religious,142.1,Autumn,4.4,8.13,Yes
Hidden Valley,Peru,South America,City,192.61,Autumn,3.8,9.24,No
Grand Forest,Thailand,Asia,Beach,85.5,Winter,4.1,7.51,No
Serene Falls,Spain,Europe,Adventure,74.86,Spring,4.4,4.8,No
Serene Falls,USA,North America,Beach,137.71,Summer,4.4,5.23,No
Mystic Canyon,Japan,Asia,Religious,190.22,Winter,4.5,3.94,Yes
Ancient Ruins,Canada,North America,City,242.45,Winter,4.8,0.62,No
Lush Park,Morocco,Africa,Adventure,99.14,Autumn,4.7,9.63,No
Hidden Ruins,Morocco,Africa,Religious,136.56,Spring,4.2,1.31,No
Crystal Canyon,India,Asia,Beach,150.03,Autumn,4.5,6.16,No
Crystal Pagoda,South Africa,Africa,Beach,150.7,Spring,4.5,2.49,No
Crystal Valley,India,Asia,Beach,144.26,Summer,4.5,2.31,No
Sacred Beach,Morocco,Africa,Beach,148.36,Autumn,4.3,5.87,No
Lush Forest,India,Asia,Nature,219.43,Winter,3.7,4.69,No
Hidden Valley,Germany,Europe,Beach,212.3,Autumn,3.9,1.97,Yes
Lush Pagoda,Australia,Oceania,Religious,164.49,Winter,4.4,9.49,Yes
Crystal Plaza,Australia,Oceania,Nature,79.62,Winter,4.3,6.62,No
Hidden Valley,Thailand,Asia,Historical,131.91,Summer,4.5,1.98,No
Mystic Falls,Peru,South America,Beach,196.78,Autumn,4.9,0.76,Yes
Crystal Plaza,Spain,Europe,Nature,114.78,Winter,4.3,6.88,No
Grand Falls,Germany,Europe,Nature,123.77,Summer,4.6,6.7,No
Grand Forest,Germany,Europe,Religious,132.47,Summer,4.4,2.81,No
Serene Falls,Japan,Asia,Beach,185.55,Spring,4.6,8.39,No
Mystic Valley,Vietnam,Asia,City,232.32,Winter,4.2,2.45,No
Mystic Park,Argentina,South America,Beach,179.66,Summer,4.4,0.62,No
Mystic Pagoda,China,Asia,City,66.51,Winter,5.0,8.98,Yes
Serene Pagoda,Italy,Europe,Adventure,123.86,Spring,4.8,2.96,No
Serene Canyon,Egypt,Africa,Historical,215.79,Autumn,4.0,3.05,Yes
Lush Pagoda,Vietnam,Asia,City,85.98,Spring,5.0,5.74,No
Serene Park,Argentina,South America,Adventure,62.33,Autumn,4.3,9.51,No
Hidden Forest,Germany,Europe,Historical,122.75,Summer,4.6,8.75,No
Mystic Canyon,Greece,Europe,Religious,198.59,Summer,4.5,8.1,Yes
Ancient Temple,India,Asia,Nature,131.82,Winter,4.5,3.05,No
Grand Forest,India,Asia,Historical,257.76,Summer,4.7,2.95,No
Hidden Temple,Japan,Asia,City,158.54,Autumn,4.4,9.85,No
Hidden Ruins,France,Europe,Historical,85.58,Summer,4.5,3.09,No
Lush Ruins,Germany,Europe,Beach,159.79,Spring,4.2,3.1,No
Golden Canyon,Vietnam,Asia,Adventure,250.28,Summer,4.7,8.38,No
Crystal Temple,Canada,North America,City,162.8,Autumn,4.8,6.2,Yes
Lush Valley,Argentina,South America,Beach,99.81,Summer,4.7,9.19,Yes
Serene Ruins,Greece,Europe,Adventure,57.96,Summer,4.1,5.43,No
Serene Park,Argentina,South America,Adventure,132.6,Summer,4.6,6.23,No
Hidden Valley,Thailand,Asia,City,119.42,Summer,4.1,3.24,No
Lush Beach,Australia,Oceania,Nature,217.07,Summer,4.2,3.32,No
Golden Falls,Morocco,Africa,Adventure,102.53,Spring,5.0,6.8,Yes
Ancient Park,Spain,Europe,Historical,154.77,Winter,4.6,2.54,No
Hidden Ruins,Peru,South America,City,121.22,Summer,4.5,5.22,No
Mystic Valley,Kenya,Africa,Adventure,65.52,Autumn,4.8,7.82,No
Serene Beach,India,Asia,Beach,148.25,Spring,5.0,7.04,Yes
Sacred Pagoda,Peru,South America,Historical,72.1,Autumn,4.4,8.28,No
Golden Falls,Brazil,South America,Beach,181.62,Winter,4.8,3.09,Yes
Grand Pagoda,Brazil,South America,Beach,61.86,Spring,4.8,1.37,No
Lush Falls,China,Asia,Historical,146.28,Winter,4.7,2.26,No
Ancient Plaza,Australia,Oceania,Historical,203.23,Summer,4.5,7.46,No
Ancient Falls,Egypt,Africa,City,177.99,Spring,4.8,7.08,No
Grand Ruins,Kenya,Africa,Historical,127.31,Spring,4.7,5.15,No
Hidden Park,India,Asia,Historical,171.48,Autumn,4.6,2.22,Yes
Grand Falls,Thailand,Asia,Historical,190.92,Summer,4.5,0.82,Yes
Mystic Park,Australia,Oceania,Religious,95.95,Winter,4.8,9.28,No
Serene Falls,Kenya,Africa,Adventure,206.45,Summer,4.5,8.52,Yes
Lush Falls,Japan,Asia,Adventure,196.91,Summer,4.3,0.85,No
Sacred Falls,Japan,Asia,Adventure,79.74,Summer,4.7,1.65,No
Ancient Beach,China,Asia,Historical,161.11,Spring,4.4,3.73,Yes
Ancient Canyon,USA,North America,Adventure,136.95,Autumn,4.5,3.5,No
Crystal Pagoda,Brazil,South America,Religious,222.35,Autumn,4.6,3.53,Yes
Lush Ruins,Canada,North America,Beach,193.39,Winter,4.6,6.35,No
Ancient Forest,India,Asia,Beach,154.11,Spring,4.8,9.42,No
Mystic Falls,New Zealand,Oceania,Historical,211.16,Spring,4.3,4.32,No
Mystic Temple,Australia,Oceania,City,264.94,Summer,4.4,8.8,No
Hidden Pagoda,Vietnam,Asia,Beach,65.91,Spring,4.0,7.51,No
Grand Pagoda,New Zealand,Oceania,City,128.99,Summer,4.4,3.87,Yes
Ancient Ruins,Australia,Oceania,Adventure,99.69,Autumn,4.2,2.72,No
Sacred Falls,Peru,South America,Religious,148.27,Summer,4.6,4.15,No
Mystic Plaza,Germany,Europe,Nature,96.47,Winter,4.7,9.52,No
Crystal Ruins,Australia,Oceania,Beach,199.22,Summer,4.4,9.47,No
Sacred Canyon,USA,North America,Historical,265.49,Winter,4.3,2.09,No
Sacred Canyon,Spain,Europe,Historical,158.32,Winter,4.6,6.27,No
Ancient Forest,Germany,Europe,Religious,71.5,Spring,4.5,2.18,No
Hidden Park,Morocco,Africa,City,118.84,Winter,4.3,7.91,Yes
Crystal Temple,Italy,Europe,Beach,125.2,Summer,4.4,9.71,Yes
Sacred Canyon,South Africa,Africa,Adventure,221.03,Summer,4.3,7.11,No
Grand Canyon,Morocco,Africa,Historical,167.18,Autumn,4.4,2.63,Yes
Grand Pagoda,India,Asia,Beach,160.15,Summer,4.0,6.13,Yes
Hidden Falls,India,Asia,City,107.99,Spring,4.5,8.84,No
Sacred Forest,Japan,Asia,Adventure,119.36,Winter,4.4,8.94,No
Crystal Pagoda,Greece,Europe,Historical,177.17,Winter,4.8,5.73,No
Grand Park,Mexico,North America,City,141.15,Summer,4.3,4.04,Yes
Hidden Temple,Thailand,Asia,City,194.21,Winter,4.2,5.21,No
Crystal Pagoda,USA,North America,Adventure,124.12,Autumn,4.6,8.59,No
Serene Temple,France,Europe,Beach,30.0,Autumn,4.2,6.13,No
Lush Park,South Africa,Africa,Historical,125.53,Summer,4.8,6.94,Yes
Golden Valley,Morocco,Africa,Religious,68.03,Autumn,4.6,8.85,Yes
Grand Falls,Thailand,Asia,City,179.53,Spring,4.8,8.58,No
Serene Falls,Italy,Europe,Adventure,170.28,Summer,4.7,8.45,No
Lush Forest,New Zealand,Oceania,Historical,203.33,Summer,4.9,6.38,No
Ancient Plaza,Brazil,South America,Nature,117.54,Summer,4.6,8.87,Yes
Serene Park,Japan,Asia,Historical,141.64,Spring,4.5,3.68,No
Mystic Falls,Australia,Oceania,Adventure,115.52,Summer,4.6,8.27,Yes
Sacred Ruins,Vietnam,Asia,Nature,151.44,Autumn,4.9,0.56,Yes
Crystal Park,Peru,South America,Nature,190.89,Spring,4.1,9.82,Yes
Crystal Pagoda,Peru,South America,Nature,82.01,Autumn,4.7,6.52,No
Grand Park,France,Europe,Historical,224.76,Spring,4.6,1.52,No
Crystal Park,Argentina,South America,Religious,162.47,Summer,5.0,9.65,No
Mystic Forest,South Africa,Africa,City,210.45,Summer,4.1,9.35,No
Serene Beach,Morocco,Africa,Religious,127.68,Autumn,4.6,3.36,Yes
Lush Falls,South Africa,Africa,Religious,131.85,Summer,4.6,6.03,Yes
Grand Forest,Thailand,Asia,City,209.75,Autumn,4.0,0.93,No
Sacred Temple,Egypt,Africa,Adventure,168.36,Summer,4.3,0.73,No
Hidden Ruins,New Zealand,Oceania,Historical,228.28,Autumn,4.5,6.99,No
Crystal Park,India,Asia,Nature,64.95,Spring,4.4,9.97,No
Crystal Temple,Vietnam,Asia,City,77.6,Winter,3.8,2.05,Yes
Lush Falls,Argentina,South America,Historical,182.43,Winter,4.8,2.6,No
Sacred Plaza,Vietnam,Asia,Historical,162.19,Spring,4.3,6.72,Yes
Crystal Valley,China,Asia,Historical,138.88,Winter,4.2,9.46,Yes
Serene Temple,Japan,Asia,Adventure,242.33,Spring,4.2,4.28,No
Serene Temple,New Zealand,Oceania,Historical,194.89,Spring,4.4,2.68,Yes
Golden Valley,Italy,Europe,Religious,87.42,Winter,4.9,8.71,No
Mystic Beach,Thailand,Asia,Historical,175.28,Autumn,4.5,2.26,Yes
Lush Pagoda,New Zealand,Oceania,City,167.14,Autumn,4.6,7.82,No
Golden Valley,Morocco,Africa,City,173.0,Spring,4.7,6.45,No
Golden Ruins,Morocco,Africa,Nature,159.83,Winter,4.7,8.07,No
Grand Pagoda,Thailand,Asia,City,98.46,Summer,4.5,1.69,No
Golden Canyon,USA,North America,Religious,116.18,Spring,5.0,2.4,No
Hidden Canyon,South Africa,Africa,Nature,112.96,Summer,4.5,6.03,No
Mystic Forest,India,Asia,Religious,192.03,Autumn,4.3,3.45,No
Hidden Ruins,India,Asia,Historical,136.16,Winter,4.5,1.19,No
